faculty_name,mhi,term_domain,term_non_health,term_reason_code,self_parse_status,self_text_quality,sf_health_services_policy,sf_mental_behavioral,sf_epidemiology_biostatistics,sf_aging_gerontology,sf_rehabilitation_disability,sf_substance_tobacco,sf_environmental_occupational,sf_nutrition_diet,sf_health_informatics_data,sf_global_population_health,public_listed,public_cross_appointment,public_group_count,public_name,public_profile_url,public_group_tags,g_researchers,g_cdpm,g_health_policy,g_health_aging,g_health_environment,g_food_water,g_hi,g_global_health,g_neuro_cog_epi,g_healthy_workplaces
AMSON | ASHLEY,0,,,,,,,,,,,,,,,,1,0,3,Ashley Amson,https://uwaterloo.ca/public-health-sciences/profiles/ashley-amson,Researchers | Health policy and health systems researcher | Chronic disease prevention and management researcher,1,1,1,0,0,0,0,0,0,0
ANTHONY | KELLY K.,0,,,,,,,,,,,,,,,,1,0,1,Kelly Anthony,https://uwaterloo.ca/public-health-sciences/profiles/kelly-anthony,Researchers,1,0,0,0,0,0,0,0,0,0
BARDWELL | GEOFFREY,0,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
BIGELOW | PHILIP L.,0,,,,,,,,,,,,,,,,1,0,2,Philip Bigelow,https://uwaterloo.ca/public-health-sciences/profiles/philip-bigelow,Researchers | Healthy workplaces researcher,1,0,0,0,0,0,0,0,0,1
BUTT | ZAHID,1,,,,,,,,,,,,,,,,1,0,2,Zahid A. Butt,https://uwaterloo.ca/public-health-sciences/profiles/zahid-butt,Health informatics researcher | Global health researcher,0,0,0,0,0,0,1,1,0,0
CHAURASIA | ASHOK,1,,,,,,,,,,,,,,,,1,0,2,Ashok Chaurasia,https://uwaterloo.ca/public-health-sciences/profiles/ashok-chaurasia,Researchers | Health informatics researcher,1,0,0,0,0,0,1,0,0,0
CHEN | HELEN H.,1,,,,,,,,,,,,,,,,1,0,4,Helen Chen,https://uwaterloo.ca/public-health-sciences/profiles/helen-chen,Researchers | Chronic disease prevention and management researcher | Health informatics researcher | Health policy and health systems researcher,1,1,1,0,0,0,1,0,0,0
COOKE | MARTIN J.,0,,,,,,,,,,,,,,,,1,0,3,Martin Cooke,https://uwaterloo.ca/public-health-sciences/profiles/martin-cooke,Researchers | Health and aging researcher | Health policy and health systems researcher,1,0,1,1,0,0,0,0,0,0
DODD | WARREN,0,,,,,,,,,,,,,,,,1,0,5,Warren Dodd,https://uwaterloo.ca/public-health-sciences/profiles/warren-dodd,Researchers | Food and water safety; security and governance researcher | Global health researcher | Health and environment researcher | Health policy and health systems researcher,1,0,1,0,1,1,0,1,0,0
DUBIN | JOEL A.,0,,,,,,,,,,,,,,,,1,0,1,Joel Dubin,https://uwaterloo.ca/public-health-sciences/profiles/joel-dubin,Researchers,1,0,0,0,0,0,0,0,0,0
FERRO | MARK,0,,,,,,,,,,,,,,,,1,0,2,Mark Ferro,https://uwaterloo.ca/public-health-sciences/profiles/mark-ferro,Researchers | Chronic disease prevention and management researcher,1,1,0,0,0,0,0,0,0,0
HALL | PETER A.,0,,,,,,,,,,,,,,,,1,0,4,Peter A. Hall,https://uwaterloo.ca/public-health-sciences/profiles/peter-hall,Researchers | Chronic disease prevention and management researcher | Health and aging researcher | Health neuroscience and cognitive epidemiology researcher,1,1,0,1,0,0,0,0,1,0
HAMMOND | DAVID,0,,,,,,,,,,,,,,,,1,0,4,David Hammond,https://uwaterloo.ca/public-health-sciences/profiles/david-hammond,Researchers | Chronic disease prevention and management researcher | Global health researcher | Health policy and health systems researcher,1,1,1,0,0,0,0,1,0,0
HOFFMAN-GOETZ | LAURIE,0,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
HIRDES | JOHN,1,,,,,,,,,,,,,,,,1,0,4,John Hirdes,https://uwaterloo.ca/public-health-sciences/profiles/john-hirdes,Researchers | Health and aging researcher | Health informatics researcher | Health policy and health systems researcher,1,0,1,1,0,0,1,0,0,0
HUSTED | JANICE,0,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
JANDU | NARVEEN,0,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
JANES | CRAIG R.,0,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
JESSUP | LINDA LOUISE,0,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
KIRKPATRICK | SHARON,0,,,,,,,,,,,,,,,,1,0,5,Sharon Kirkpatrick,https://uwaterloo.ca/public-health-sciences/profiles/sharon-kirkpatrick,Researchers | Chronic disease prevention and management researcher | Food and water safety; security and governance researcher | Health and environment researcher | Health policy and health systems researcher,1,1,1,0,1,1,0,0,0,0
KING | ALEXANDRA,0,,,,,,,,,,,,,,,,1,0,3,Alexandra King,https://uwaterloo.ca/public-health-sciences/profiles/alexandra-king,Researchers | Chronic disease prevention and management researcher | Health policy and health systems researcher,1,1,1,0,0,0,0,0,0,0
LAIRD | BRIAN,0,,,,,,,,,,,,,,,,1,0,4,Brian Laird,https://uwaterloo.ca/public-health-sciences/profiles/brian-laird,Researchers | Food and water safety; security and governance researcher | Global health researcher | Health and environment researcher,1,0,0,0,1,1,0,1,0,0
LAW | JANE,0,,,,,,,,,,,,,,,,1,0,6,Jane Law,https://uwaterloo.ca/public-health-sciences/profiles/jane-law,Researchers | Chronic disease prevention and management researcher | Food and water safety; security and governance researcher | Health and aging researcher | Health and environment researcher | Health policy and health systems researcher,1,1,1,1,1,1,0,0,0,0
LEATHERDALE | SCOTT,0,,,,,,,,,,,,,,,,1,0,2,Scott Leatherdale,https://uwaterloo.ca/public-health-sciences/profiles/scott-leatherdale,Researchers | Chronic disease prevention and management researcher,1,1,0,0,0,0,0,0,0,0
LEE | JOON H.,1,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
LUO | HAO,1,,,,,,,,,,,,,,,,1,0,3,Hao Luo,https://uwaterloo.ca/public-health-sciences/profiles/hao-luo,Researchers | Health informatics researcher | Health and aging researcher,1,0,0,1,0,0,1,0,0,0
