year,mean_group_a,mean_group_b,n_group_a,n_group_b,mean_diff_a_minus_b
2011,142308.89,152185.27,3,4,-9876.38
2012,141907.43,149907.92,3,5,-8000.49
2013,148072.24,137965.86,3,7,10106.38
2014,155378.69,156360.66,3,6,-981.96
2015,161418.05,129899.44,3,14,31518.61
2016,166484.79,136426.22,3,15,30058.57
2017,137567.19,137958.95,6,18,-391.75
2018,143600.15,141740.60,6,20,1859.55
2019,147584.39,148285.43,7,22,-701.05
2020,155600.11,151557.30,7,25,4042.82
2021,160201.16,154187.51,6,25,6013.65
2022,162826.11,160089.03,6,24,2737.09
2023,164047.38,165228.13,5,27,-1180.74
2024,164482.19,176424.09,6,26,-11941.90
