year,position,contains_dept_like_keyword
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,"Associate Professor, St Jerome's University",0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,"Director, Police &amp; Parking Services",0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Lecturer,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,"Director, Operations Cooperative Education &amp; Career Services",0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,"Director, School of Accounting &amp; Finance",1
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,"Vice President, External Relations",0
2011,Lecturer,0
2011,"Associate Vice-President, Operations and Human Resources, St Jerome's University",0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Lecturer,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,"Professor, St Jerome's University",0
2011,Professor,0
2011,Professor,0
2011,"Manager,Computing Systems Integration",0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,"Manager, Strategic Initiatives, Office of Research",0
2011,Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,"Principal, St. Paul's University College",0
2011,Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,"Associate Professor, St Jerome's University",0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,"Director, Network Services",0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,"Associate Director,Online Learning",0
2011,Lecturer,0
2011,Professor,0
2011,"Principal, Renison University College",0
2011,"Executive Director, Waterloo Institute for Nanotechnology",1
2011,Associate Professor,0
2011,Professor,0
2011,Lecturer,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,"Diector, Instructional Technology &amp; Multi-Media",0
2011,Professor,0
2011,Lecturer,0
2011,Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Assistant Professor,0
2011,Assistant Research Professor,0
2011,Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,"Executive Director, Canadian Water Network",0
2011,Professor,0
2011,Professor,0
2011,"Director, Alumni Affairs",0
2011,Professor,0
2011,"Director, Athletics",0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,"Associate Vice-President, Development",0
2011,Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,"Associate Professor, Renison University College",0
2011,Associate Professor,0
2011,Lecturer,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Assistant Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,"Director, Advancement &amp; Public Affairs Stratford Institute",1
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,"Professor, St Jerome's University",0
2011,Associate Professor,0
2011,"Director, Organization &amp; Human Development",0
2011,"Director, Institute for Computer Research",1
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,"Vice President, University Research",0
2011,Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Associate Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,"Associate Professor, St Jerome's University",0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,"Director, Mapping, Analysis &amp; Design",0
2011,Research Associate,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Assistant Professor,0
2011,Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Lecturer,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,"Director, Food Services",0
2011,Associate Professor,0
2011,"Dean, Applied Health Sciences",0
2011,"Director, Centre for Teaching Excellence",1
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,"Director, Engineering Computing",0
2011,Associate Professor,0
2011,"Professor of Music, Conrad Grebel University College",0
2011,"Associate Professor, Conrad Grebel University College",0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,"Director, Peace &amp; Conflict Studies, Conrad Grebel University College",0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,"Professor, St. Paul's University College",0
2011,"Managing Director, Waterloo Institute for Health Informatics Research",1
2011,Lecturer,0
2011,Associate Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Professor,0
2011,"Professor, St Jerome's University",0
2011,"Director, Student &amp; Faculty Relations, Cooperative Education &amp; Career Services",1
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Lecturer,0
2011,Professor,0
2011,Associate Professor,0
2011,"Managing Director, Institute for Nanotechnology",1
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Lecturer,0
2011,Associate Professor,0
2011,"Professor, St. Paul's University College",0
2011,Associate Professor,0
2011,"Professor, Conrad Grebel University College",0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Lecturer,0
2011,"Director, Custodial &amp; Grounds",0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,"Sr.Director, Donor Relations &amp; Advancement Services",0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,"Associate Provost, Information Systems Technology",0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,"Dean, Mathematics",0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Lecturer,0
2011,"Associate Professor, Conrad Grebel University College",0
2011,Professor,0
2011,Professor,0
2011,"Associate Professor, St Jerome's University",0
2011,Assistant Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Clinical Lecturer,0
2011,"Director, School of Archtecture",1
2011,Professor,0
2011,President &amp; Vice Chancellor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Assistant Professor,0
2011,"Manager, Financial Reporting",0
2011,Associate Professor,0
2011,"Director, Housing Facilities &amp; Finance",0
2011,Professor,0
2011,"Professor, Renison University College",0
2011,Lecturer,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,University Librarian,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Professor,0
2011,"Associate Professor, St Jerome's University",0
2011,"Director, Client Services",0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Professor,0
2011,Assistant Professor,0
2011,Professor,0
2011,Professor,0
2011,Professor,0
2011,"Associate Provost, Graduate Studies",0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Clinical Lecturer,0
2011,Assistant Professor,0
2011,"Vice-President, Administration &amp; Finance",0
2011,Professor,0
2011,Associate Professor,0
2011,Professor,0
2011,Professor,0
2011,"Associate Professor, Conrad Grebel University College",0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Associate Professor,0
2011,Assistant Professor,0
