bin_left,bin_right,bin_mid,count,share
-70000.00,-65000.00,-67500.00,0,0.000000
-65000.00,-60000.00,-62500.00,0,0.000000
-60000.00,-55000.00,-57500.00,1,0.003436
-55000.00,-50000.00,-52500.00,4,0.013746
-50000.00,-45000.00,-47500.00,1,0.003436
-45000.00,-40000.00,-42500.00,0,0.000000
-40000.00,-35000.00,-37500.00,3,0.010309
-35000.00,-30000.00,-32500.00,8,0.027491
-30000.00,-25000.00,-27500.00,15,0.051546
-25000.00,-20000.00,-22500.00,16,0.054983
-20000.00,-15000.00,-17500.00,22,0.075601
-15000.00,-10000.00,-12500.00,26,0.089347
-10000.00,-5000.00,-7500.00,31,0.106529
-5000.00,0.00,-2500.00,25,0.085911
0.00,5000.00,2500.00,20,0.068729
5000.00,10000.00,7500.00,14,0.048110
10000.00,15000.00,12500.00,13,0.044674
15000.00,20000.00,17500.00,8,0.027491
20000.00,25000.00,22500.00,14,0.048110
25000.00,30000.00,27500.00,14,0.048110
30000.00,35000.00,32500.00,12,0.041237
35000.00,40000.00,37500.00,14,0.048110
40000.00,45000.00,42500.00,7,0.024055
45000.00,50000.00,47500.00,5,0.017182
50000.00,55000.00,52500.00,5,0.017182
55000.00,60000.00,57500.00,3,0.010309
60000.00,65000.00,62500.00,2,0.006873
65000.00,70000.00,67500.00,6,0.020619
70000.00,75000.00,72500.00,0,0.000000
75000.00,80000.00,77500.00,0,0.000000
80000.00,85000.00,82500.00,1,0.003436
85000.00,90000.00,87500.00,1,0.003436
