bin_left,bin_right,bin_mid,count,share
-55000.00,-50000.00,-52500.00,0,0.000000
-50000.00,-45000.00,-47500.00,4,0.015209
-45000.00,-40000.00,-42500.00,0,0.000000
-40000.00,-35000.00,-37500.00,0,0.000000
-35000.00,-30000.00,-32500.00,6,0.022814
-30000.00,-25000.00,-27500.00,7,0.026616
-25000.00,-20000.00,-22500.00,12,0.045627
-20000.00,-15000.00,-17500.00,18,0.068441
-15000.00,-10000.00,-12500.00,18,0.068441
-10000.00,-5000.00,-7500.00,24,0.091255
-5000.00,0.00,-2500.00,26,0.098859
0.00,5000.00,2500.00,30,0.114068
5000.00,10000.00,7500.00,17,0.064639
10000.00,15000.00,12500.00,6,0.022814
15000.00,20000.00,17500.00,7,0.026616
20000.00,25000.00,22500.00,13,0.049430
25000.00,30000.00,27500.00,11,0.041825
30000.00,35000.00,32500.00,13,0.049430
35000.00,40000.00,37500.00,15,0.057034
40000.00,45000.00,42500.00,13,0.049430
45000.00,50000.00,47500.00,4,0.015209
50000.00,55000.00,52500.00,4,0.015209
55000.00,60000.00,57500.00,7,0.026616
60000.00,65000.00,62500.00,2,0.007605
65000.00,70000.00,67500.00,1,0.003802
70000.00,75000.00,72500.00,4,0.015209
75000.00,80000.00,77500.00,0,0.000000
80000.00,85000.00,82500.00,0,0.000000
85000.00,90000.00,87500.00,0,0.000000
90000.00,95000.00,92500.00,1,0.003802
