bin_left,bin_right,bin_mid,count,share
-60000.00,-55000.00,-57500.00,1,0.022727
-55000.00,-50000.00,-52500.00,0,0.000000
-50000.00,-45000.00,-47500.00,0,0.000000
-45000.00,-40000.00,-42500.00,2,0.045455
-40000.00,-35000.00,-37500.00,6,0.136364
-35000.00,-30000.00,-32500.00,8,0.181818
-30000.00,-25000.00,-27500.00,10,0.227273
-25000.00,-20000.00,-22500.00,4,0.090909
-20000.00,-15000.00,-17500.00,2,0.045455
-15000.00,-10000.00,-12500.00,2,0.045455
-10000.00,-5000.00,-7500.00,0,0.000000
-5000.00,0.00,-2500.00,8,0.181818
0.00,5000.00,2500.00,1,0.022727
5000.00,10000.00,7500.00,0,0.000000
10000.00,15000.00,12500.00,0,0.000000
15000.00,20000.00,17500.00,0,0.000000
20000.00,25000.00,22500.00,0,0.000000
25000.00,30000.00,27500.00,0,0.000000
30000.00,35000.00,32500.00,0,0.000000
35000.00,40000.00,37500.00,0,0.000000
40000.00,45000.00,42500.00,0,0.000000
45000.00,50000.00,47500.00,0,0.000000
50000.00,55000.00,52500.00,0,0.000000
55000.00,60000.00,57500.00,0,0.000000
60000.00,65000.00,62500.00,0,0.000000
65000.00,70000.00,67500.00,0,0.000000
70000.00,75000.00,72500.00,0,0.000000
75000.00,80000.00,77500.00,0,0.000000
80000.00,85000.00,82500.00,0,0.000000
85000.00,90000.00,87500.00,0,0.000000
