bin_left,bin_right,bin_mid,count,share
-60000.00,-55000.00,-57500.00,0,0.000000
-55000.00,-50000.00,-52500.00,4,0.015209
-50000.00,-45000.00,-47500.00,0,0.000000
-45000.00,-40000.00,-42500.00,0,0.000000
-40000.00,-35000.00,-37500.00,3,0.011407
-35000.00,-30000.00,-32500.00,8,0.030418
-30000.00,-25000.00,-27500.00,14,0.053232
-25000.00,-20000.00,-22500.00,16,0.060837
-20000.00,-15000.00,-17500.00,19,0.072243
-15000.00,-10000.00,-12500.00,25,0.095057
-10000.00,-5000.00,-7500.00,28,0.106464
-5000.00,0.00,-2500.00,23,0.087452
0.00,5000.00,2500.00,18,0.068441
5000.00,10000.00,7500.00,10,0.038023
10000.00,15000.00,12500.00,12,0.045627
15000.00,20000.00,17500.00,6,0.022814
20000.00,25000.00,22500.00,14,0.053232
25000.00,30000.00,27500.00,14,0.053232
30000.00,35000.00,32500.00,11,0.041825
35000.00,40000.00,37500.00,13,0.049430
40000.00,45000.00,42500.00,6,0.022814
45000.00,50000.00,47500.00,4,0.015209
50000.00,55000.00,52500.00,5,0.019011
55000.00,60000.00,57500.00,3,0.011407
60000.00,65000.00,62500.00,2,0.007605
65000.00,70000.00,67500.00,4,0.015209
70000.00,75000.00,72500.00,0,0.000000
75000.00,80000.00,77500.00,0,0.000000
80000.00,85000.00,82500.00,0,0.000000
85000.00,90000.00,87500.00,1,0.003802
