years_since_entry,nonmhi_fit,nonmhi_ci_low,nonmhi_ci_high,mhi_fit,mhi_ci_low,mhi_ci_high,gap_fit,gap_ci_low,gap_ci_high
0,111764.232,111764.232,111764.232,111764.232,111764.232,111764.232,-0.000,-0.000,-0.000
1,120241.116,119796.708,120685.525,117379.059,116482.023,118276.094,-2862.058,-3863.143,-1860.972
2,128718.000,127829.183,129606.818,122993.885,121199.814,124787.956,-5724.115,-7726.286,-3721.945
3,137194.885,135861.659,138528.111,128608.712,125917.605,131299.818,-8586.173,-11589.429,-5582.917
4,145671.769,143894.134,147449.403,134223.538,130635.396,137811.680,-11448.231,-15452.572,-7443.889
5,154148.653,151926.609,156370.696,139838.365,135353.187,144323.542,-14310.288,-19315.715,-9304.862
6,162625.537,159959.085,165291.989,145453.191,140070.978,150835.404,-17172.346,-23178.858,-11165.834
7,171102.421,167991.560,174213.282,151068.018,144788.769,157347.266,-20034.404,-27042.001,-13026.807
8,179579.305,176024.036,183134.575,156682.844,149506.560,163859.128,-22896.461,-30905.143,-14887.779
9,188056.189,184056.511,192055.868,162297.671,154224.351,170370.990,-25758.519,-34768.286,-16748.751
10,196533.074,192088.987,200977.160,167912.497,158942.142,176882.852,-28620.577,-38631.429,-18609.724
