salary_percentile,cum_prop
0.00,0.000000
2.941176,0.022727
3.225806,0.045455
3.333333,0.068182
3.571429,0.090909
4.166667,0.113636
6.451613,0.136364
6.666667,0.159091
8.333333,0.181818
9.090909,0.204545
9.677419,0.250000
11.538462,0.272727
11.764706,0.295455
13.333333,0.318182
14.705882,0.340909
15.151515,0.363636
15.384615,0.386364
16.129032,0.409091
16.666667,0.431818
17.857143,0.454545
18.181818,0.500000
20.000000,0.522727
20.588235,0.545455
21.212121,0.568182
22.580645,0.613636
23.076923,0.636364
23.529412,0.659091
25.000000,0.727273
29.032258,0.750000
30.000000,0.772727
33.333333,0.795455
50.000000,0.818182
55.882353,0.840909
57.692308,0.863636
58.823529,0.886364
60.000000,0.909091
60.606061,0.931818
60.714286,0.954545
61.290323,0.977273
64.516129,1.000000
100.00,1.000000
