salary_percentile,cum_prop
0.00,0.000000
3.030303,0.003802
3.225806,0.007605
3.846154,0.011407
5.555556,0.015209
5.882353,0.022814
6.060606,0.026616
6.451613,0.030418
7.142857,0.034221
7.692308,0.038023
8.823529,0.041825
9.090909,0.045627
10.000000,0.053232
10.714286,0.057034
11.111111,0.060837
11.764706,0.064639
12.121212,0.068441
12.500000,0.076046
12.903226,0.083650
14.285714,0.087452
16.129032,0.091255
16.666667,0.102662
17.647059,0.110266
19.230769,0.114068
19.354839,0.121673
20.000000,0.125475
20.833333,0.129278
21.428571,0.133080
22.222222,0.136882
23.333333,0.140684
23.529412,0.144487
24.242424,0.148289
25.806452,0.155894
26.470588,0.159696
26.666667,0.163498
26.923077,0.167300
27.272727,0.174905
27.777778,0.178707
28.571429,0.182510
29.032258,0.186312
29.166667,0.190114
29.411765,0.197719
30.000000,0.201521
30.303030,0.205323
30.769231,0.209125
32.142857,0.212928
32.258065,0.220532
32.352941,0.224335
33.333333,0.239544
34.615385,0.243346
35.294118,0.250951
35.483871,0.258555
35.714286,0.262357
36.363636,0.269962
36.666667,0.273764
37.500000,0.281369
38.235294,0.285171
38.461538,0.288973
38.709677,0.296578
38.888889,0.300380
39.285714,0.304183
39.393939,0.307985
40.000000,0.315589
41.176471,0.323194
41.666667,0.326996
41.935484,0.334601
42.307692,0.338403
42.424242,0.342205
42.857143,0.346008
43.333333,0.349810
44.117647,0.353612
44.444444,0.357414
45.161290,0.365019
45.454545,0.372624
45.833333,0.376426
46.153846,0.380228
46.428571,0.384030
46.666667,0.387833
47.058824,0.395437
48.387097,0.403042
48.484848,0.406844
50.000000,0.437262
51.515152,0.441065
51.612903,0.448669
52.941176,0.456274
53.333333,0.460076
53.571429,0.463878
53.846154,0.467681
54.166667,0.471483
54.545455,0.479087
54.838710,0.486692
55.555556,0.490494
56.666667,0.494297
57.142857,0.498099
57.575758,0.501901
58.064516,0.509506
58.333333,0.513308
58.823529,0.517110
60.000000,0.520913
61.111111,0.524715
61.290323,0.528517
61.538462,0.532319
61.764706,0.536122
62.500000,0.543726
63.333333,0.547529
63.636364,0.555133
64.285714,0.558935
64.516129,0.562738
64.705882,0.570342
65.384615,0.574144
66.666667,0.593156
67.647059,0.596958
67.741935,0.604563
67.857143,0.608365
69.230769,0.612167
69.696970,0.615970
70.000000,0.623574
70.588235,0.631179
70.833333,0.634981
70.967742,0.642586
71.428571,0.646388
72.222222,0.650190
72.727273,0.657795
73.076923,0.661597
73.333333,0.665399
73.529412,0.669202
74.193548,0.676806
75.000000,0.688213
75.757576,0.692015
76.470588,0.699620
76.666667,0.703422
76.923077,0.707224
77.419355,0.714829
77.777778,0.718631
78.571429,0.722433
78.787879,0.726236
79.166667,0.730038
79.411765,0.733840
80.000000,0.741445
80.645161,0.749049
80.769231,0.752852
81.818182,0.760456
82.142857,0.764259
82.352941,0.771863
83.333333,0.787072
83.870968,0.794677
84.615385,0.798479
84.848485,0.802281
85.294118,0.806084
85.714286,0.809886
86.666667,0.813688
87.096774,0.821293
87.500000,0.828897
87.878788,0.832700
88.235294,0.840304
88.461538,0.844106
88.888889,0.847909
89.285714,0.851711
90.000000,0.859316
90.322581,0.866920
90.909091,0.874525
91.176471,0.878327
91.666667,0.882129
92.307692,0.885932
92.857143,0.889734
93.333333,0.893536
93.548387,0.901141
93.939394,0.904943
94.117647,0.912548
94.444444,0.916350
95.833333,0.920152
96.153846,0.923954
96.428571,0.927757
96.666667,0.931559
96.774194,0.939163
96.969697,0.942966
97.058824,0.946768
100.000000,1.000000
