year,fit,ci_low,ci_high
2011,94553.682,78825.071,110282.294
2012,98283.233,83159.525,113406.941
2013,102012.783,87466.471,116559.095
2014,105742.334,91742.507,119742.161
2015,109471.884,95983.873,122959.895
2016,113201.434,100186.479,126216.389
2017,116930.985,104345.955,129516.015
2018,120660.535,108457.740,132863.331
2019,124390.085,112517.226,136262.945
2020,128119.636,116519.952,139719.320
2021,131849.186,120461.831,143236.542
2022,135578.737,124339.414,146818.060
2023,139308.287,128150.141,150466.433
2024,143037.837,131892.552,154183.122
2025,146767.388,135566.412,157968.363
