year,fit,ci_low,ci_high
2011,111135.067,98943.146,123326.988
2012,116031.685,104487.807,127575.562
2013,120928.302,109962.605,131893.999
2014,125824.920,115355.960,136293.880
2015,130721.538,120655.806,140787.270
2016,135618.156,125850.555,145385.756
2017,140514.774,130930.396,150099.151
2018,145411.391,135888.693,154934.090
2019,150308.009,140723.099,159892.919
2020,155204.627,145435.981,164973.272
2021,160101.245,150033.991,170168.498
2022,164997.862,154526.952,175468.773
2023,169894.480,158926.456,180862.504
2024,174791.098,163244.568,186337.628
