breakYear,model,term,observed,nullMean,nullStdDev,nullQ025,nullQ975,pTwoSided,nPermutations,inferenceMethod
2021,Pooled OLS (Segmented),K2014XMHI,-2246.690,-1264.900,5315.271,-11631.553,9711.944,0.668,17948,monte-carlo
2021,Pooled OLS (Segmented),KK2XMHI,-594.120,-259.992,4005.380,-8892.434,6828.402,0.874,17974,monte-carlo
2021,Person FE (Segmented),K2014XMHI,3440.571,-126.326,4184.517,-8443.451,9676.863,0.357,17145,monte-carlo
2021,Person FE (Segmented),KK2XMHI,-1535.323,53.709,1755.284,-3508.768,3561.350,0.370,17200,monte-carlo
2022,Pooled OLS (Segmented),K2014XMHI,-2012.342,-1255.491,5188.972,-11168.023,9857.669,0.695,18059,monte-carlo
2022,Pooled OLS (Segmented),KK2XMHI,-1181.028,-273.556,5273.186,-12033.466,8703.241,0.816,17971,monte-carlo
2022,Person FE (Segmented),K2014XMHI,3021.856,-62.845,4255.134,-8091.822,10248.168,0.424,17215,monte-carlo
2022,Person FE (Segmented),KK2XMHI,-1745.006,126.979,2209.341,-4191.506,4356.141,0.438,17187,monte-carlo
2023,Pooled OLS (Segmented),K2014XMHI,-1353.548,-1126.284,5359.778,-11214.590,10669.950,0.797,17960,monte-carlo
2023,Pooled OLS (Segmented),KK2XMHI,-5380.923,-120.985,7819.449,-17058.050,13965.223,0.463,17999,monte-carlo
2023,Person FE (Segmented),K2014XMHI,2979.894,63.404,4464.943,-7795.798,10953.377,0.459,17127,monte-carlo
2023,Person FE (Segmented),KK2XMHI,-3530.869,342.741,4094.400,-6612.439,9009.017,0.406,17188,monte-carlo
