faculty_name,profile_url,group_tag,cross_appointment
Ashley Amson,https://uwaterloo.ca/public-health-sciences/profiles/ashley-amson,Researchers,0
Ashley Amson,https://uwaterloo.ca/public-health-sciences/profiles/ashley-amson,Health policy and health systems researcher,0
Ashley Amson,https://uwaterloo.ca/public-health-sciences/profiles/ashley-amson,Chronic disease prevention and management researcher,0
Kelly Anthony,https://uwaterloo.ca/public-health-sciences/profiles/kelly-anthony,Researchers,0
Geoff Bardwell,https://uwaterloo.ca/public-health-sciences/profiles/geoff-bardwell,Researchers,0
Geoff Bardwell,https://uwaterloo.ca/public-health-sciences/profiles/geoff-bardwell,Health and environment researcher,0
Geoff Bardwell,https://uwaterloo.ca/public-health-sciences/profiles/geoff-bardwell,Health policy and health systems researcher,0
Philip Bigelow,https://uwaterloo.ca/public-health-sciences/profiles/philip-bigelow,Researchers,0
Philip Bigelow,https://uwaterloo.ca/public-health-sciences/profiles/philip-bigelow,Healthy workplaces researcher,0
Zahid A. Butt,https://uwaterloo.ca/public-health-sciences/profiles/zahid-butt,Health informatics researcher,0
Zahid A. Butt,https://uwaterloo.ca/public-health-sciences/profiles/zahid-butt,Global health researcher,0
Ashok Chaurasia,https://uwaterloo.ca/public-health-sciences/profiles/ashok-chaurasia,Researchers,0
Ashok Chaurasia,https://uwaterloo.ca/public-health-sciences/profiles/ashok-chaurasia,Health informatics researcher,0
Helen Chen,https://uwaterloo.ca/public-health-sciences/profiles/helen-chen,Researchers,0
Helen Chen,https://uwaterloo.ca/public-health-sciences/profiles/helen-chen,Chronic disease prevention and management researcher,0
Helen Chen,https://uwaterloo.ca/public-health-sciences/profiles/helen-chen,Health informatics researcher,0
Helen Chen,https://uwaterloo.ca/public-health-sciences/profiles/helen-chen,Health policy and health systems researcher,0
Martin Cooke,https://uwaterloo.ca/public-health-sciences/profiles/martin-cooke,Researchers,0
Martin Cooke,https://uwaterloo.ca/public-health-sciences/profiles/martin-cooke,Health and aging researcher,0
Martin Cooke,https://uwaterloo.ca/public-health-sciences/profiles/martin-cooke,Health policy and health systems researcher,0
Warren Dodd,https://uwaterloo.ca/public-health-sciences/profiles/warren-dodd,Researchers,0
Warren Dodd,https://uwaterloo.ca/public-health-sciences/profiles/warren-dodd,"Food and water safety, security and governance researcher",0
Warren Dodd,https://uwaterloo.ca/public-health-sciences/profiles/warren-dodd,Global health researcher,0
Warren Dodd,https://uwaterloo.ca/public-health-sciences/profiles/warren-dodd,Health and environment researcher,0
Warren Dodd,https://uwaterloo.ca/public-health-sciences/profiles/warren-dodd,Health policy and health systems researcher,0
Joel Dubin,https://uwaterloo.ca/public-health-sciences/profiles/joel-dubin,Researchers,0
Mark Ferro,https://uwaterloo.ca/public-health-sciences/profiles/mark-ferro,Researchers,0
Mark Ferro,https://uwaterloo.ca/public-health-sciences/profiles/mark-ferro,Chronic disease prevention and management researcher,0
Peter A. Hall,https://uwaterloo.ca/public-health-sciences/profiles/peter-hall,Researchers,0
Peter A. Hall,https://uwaterloo.ca/public-health-sciences/profiles/peter-hall,Chronic disease prevention and management researcher,0
Peter A. Hall,https://uwaterloo.ca/public-health-sciences/profiles/peter-hall,Health and aging researcher,0
Peter A. Hall,https://uwaterloo.ca/public-health-sciences/profiles/peter-hall,Health neuroscience and cognitive epidemiology researcher,0
David Hammond,https://uwaterloo.ca/public-health-sciences/profiles/david-hammond,Researchers,0
David Hammond,https://uwaterloo.ca/public-health-sciences/profiles/david-hammond,Chronic disease prevention and management researcher,0
David Hammond,https://uwaterloo.ca/public-health-sciences/profiles/david-hammond,Global health researcher,0
David Hammond,https://uwaterloo.ca/public-health-sciences/profiles/david-hammond,Health policy and health systems researcher,0
John Hirdes,https://uwaterloo.ca/public-health-sciences/profiles/john-hirdes,Researchers,0
John Hirdes,https://uwaterloo.ca/public-health-sciences/profiles/john-hirdes,Health and aging researcher,0
John Hirdes,https://uwaterloo.ca/public-health-sciences/profiles/john-hirdes,Health informatics researcher,0
John Hirdes,https://uwaterloo.ca/public-health-sciences/profiles/john-hirdes,Health policy and health systems researcher,0
Alexandra King,https://uwaterloo.ca/public-health-sciences/profiles/alexandra-king,Researchers,0
Alexandra King,https://uwaterloo.ca/public-health-sciences/profiles/alexandra-king,Chronic disease prevention and management researcher,0
Alexandra King,https://uwaterloo.ca/public-health-sciences/profiles/alexandra-king,Health policy and health systems researcher,0
Sharon Kirkpatrick,https://uwaterloo.ca/public-health-sciences/profiles/sharon-kirkpatrick,Researchers,0
Sharon Kirkpatrick,https://uwaterloo.ca/public-health-sciences/profiles/sharon-kirkpatrick,Chronic disease prevention and management researcher,0
